,host,app,app count,Forcepoint ThreatSeeker,sophos,Comodo Valkyrie Verdict,BitDefender,alphaMountain.ai,Webroot,Dr.Web,Websense ThreatSeeker,Alexa,TrendMicro
0,adashbc.ut.taobao.com,"""{'com.hujiang.hjclass'", 'com.doc360.client',internet auctions,online shopping,unknown,onlineshop,,,,,,
1,aaid.umeng.com,"""{'com.charm.widgetshow'", 'com.doodle.master.draw.glow.art',web analytics,information technology,,business,,,,,,
2,auction.unityads.unity.cn,"""{'com.cross.stitch.color.by.number'", 'com.abundajoj.icingondress',,,,,,,,,,
3,publisher-config.unityads.unity3d.com,"""{'pdf.tap.scanner'", 'com.outfit7.talkingben',information technology,information technology,media sharing,business,,,,,,
4,msg.umengcloud.com,"""{'com.bobo.splayer'", 'com.ldzs.zhangxin',information technology,video hosting,,,,,,,,
5,t.appsflyer.com,"""{'com.teltechcorp.trapcall'", 'com.calm.android',information technology,advertisements,media sharing,,,,,,,
6,api2.branch.io,"""{'com.calm.android'", 'com.bsb.hike',information technology,information technology,media sharing,,"Business/Economy, Information Technology",,,,,
7,open.e.kuaishou.com,"""{'com.doupin.show'", 'com.baidu.video',entertainment,general business,,parked,,,,,,
8,mi.gdt.qq.com,"""{'com.nyato.client'", 'com.feiniaokc.fc',search engines and portals,portal sites,,portals,,,,,,
9,app.adjust.com,"""{'com.microsoft.todos'", 'com.strava',web analytics,information technology,media sharing,ads,Information Technology,,,,,
10,cdp.cloud.unity3d.com,"""{'com.CDAStudio.ConcreteMasterAndroid'", 'com.RuzgarApp.PeugeotDriftSimulator',information technology,information technology,,business,,,,,,
11,adc3-launch.adcolony.com,"""{'fi.twomenandadog.zombiecatchers'", 'com.quvideo.xiaoying',advertisements,general business,media sharing,ads,,,,,,
12,adsmetadata.startappservice.com,"""{'com.newandromo.dev26743.app781662'", 'com.bmwstudio.cars_hotel_apartemen_bitcoin_vpn',advertisements,information technology,,,,,,,,
13,ads30.adcolony.com,"""{'fi.twomenandadog.zombiecatchers'", 'es.socialpoint.DragonCity',advertisements,general business,media sharing,ads,,,,,,
14,req.startappservice.com,"""{'com.newandromo.dev26743.app781662'", 'com.bmwstudio.cars_hotel_apartemen_bitcoin_vpn',advertisements,information technology,advertisements & popups,,,,,,,
15,adashbc.m.taobao.com,"""{'com.budejie.mimi'", 'com.sh.paipai',,,,,,,,,,
16,is.snssdk.com,"""{'com.haoyang.comics.manba'", 'com.qzk.share',entertainment,entertainment,,,,Computer and Internet Info,,,,
17,logs.amap.com,"""{'com.tuya.smart'", 'cn.com.hsbc.hsbcchina',reference materials,reference,media sharing,business,,,,,,
18,ads.mopub.com,"""{'com.rsupport.mvagent'", 'com.joeykrim.rootcheck',advertisements,information technology,,ads,,,,,,
19,sessions.bugsnag.com,"""{'com.flowkey.app'", 'com.outfit7.mytalkinghank',information technology,information technology,media sharing,computersandsoftware,Information Technology,,,,,
20,wd.adcolony.com,"""{'fi.twomenandadog.zombiecatchers'", 'com.firsttouchgames.dls7',advertisements,general business,,ads,,,,,,
21,connect.tapjoy.com,"""{'com.didilabs.kaavefali'", 'com.wildec.meet24',information technology,information technology,media sharing,,,,,,,
22,toblog.ctobsnssdk.com,"""{'com.shenyuan.militarynews'", 'com.forfan.bigbang.coolapk',information technology,content delivery,,,,,,,,
23,mobilegw.alipay.com,"""{'com.taobao.wifi'", 'com.wscreativity.toxx',financial data and services,financial services,software-hardware,onlinepay,,,,,,
24,in.appcenter.ms,"""{'org.jw.jwlibrary.mobile'", 'com.sonetel.sonetel2',information technology,information technology,media sharing,,,,,,,
25,live.chartboost.com,"""{'com.nail.fashion.trends'", 'bubbleshooter.orig',information technology,information technology,marketing & merchandising,,,,,,,
26,api.branch.io,"""{'com.strava'", 'com.didilabs.kaavefali',information technology,information technology,computing & technology,,Information Technology,,,,,
27,placements.tapjoy.com,"""{'com.didilabs.kaavefali'", 'com.wildec.meet24',information technology,information technology,media sharing,,,,,,,
28,rpc.tapjoy.com,"""{'com.didilabs.kaavefali'", 'com.wildec.meet24',information technology,information technology,media sharing,,,,,,,
29,hotfix-api.aliyuncs.com,"""{'com.taobao.tdvideo'", 'com.quxiu.bdbk.android',information technology,information technology,media sharing,,,,,,,
30,events.appsflyer.com,"""{'com.teltechcorp.trapcall'", 'com.u2opia.woo',information technology,advertisements,media sharing,,,,,,,
