stack,request count,package,package count,host,host count,url,url count,post file name,
com.uc.crashsdk,70,"{'com.softddapps.photobox', 'com.ddappsoft.file', 'com.differapp.yssafe', 'com.zl.hairstyle', 'com.ddsafeda.photoalbum', 'com.projectb.changevoices'}",6,{'errlog.umeng.com'},1,https://errlog.umeng.com/upload,1,"{'com.ddsafeda.photoalbum.apk1620869853.1231568.pcap__192.168.137.71_42912__203.119.169.175_443__598808188f4a9d654f000250_1.7_47b8cb64_Pixel-3_9_162086982204456695_20210513093730_fg_java.log.gz', 'com.zl.hairstyle.apk1620455585.9338117.pcap__192.168.137.71_48840__203.119.169.43_443__5f8d2bdc80455950e4ae748f_1.1.1_5bb0926_Pixel-3_9_162045555147432600_20210508143348_bg_java.log.gz', 'com.ddappsoft.file_9.apk1621479578.9908462.pcap__192.168.137.30_40820__203.119.169.207_443__598808188f4a9d654f000250_1.8_151c8d0c_Pixel-3_9_162147960490320427_20210520110033_fg_java.log.gz', 'com.projectb.changevoices.apk1620221228.8639166.pcap__192.168.137.58_46616__203.119.169.43_443__60064866f1eb4f3f9b64f889_1.1.0.0311_8ff6b3f6_Pixel-3_9_162022118318453263_20210505212624_fg_exception.log.gz', 'com.projectb.changevoices.apk1620221228.8639166.pcap__192.168.137.58_46616__203.119.169.43_443__60064866f1eb4f3f9b64f889_1.1.0.0311_8ff6b3f6_Pixel-3_9_162022106062949255_20210505212518_fg_exception.log.gz', 'com.softddapps.photobox.apk1620964699.2843938.pcap__192.168.137.71_41488__203.119.169.9_443__598808188f4a9d654f000250_1.6_7b821cb2_Pixel-3_9_162096466798161352_20210514115819_fg_java.log.gz', 'com.differapp.yssafe.apk1621335335.02709.pcap__192.168.137.200_40506__203.119.169.84_443__598808188f4a9d654f000250_1.5_60e2301a_Pixel-3_9_162133530321619614_20210518185535_fg_java.log.gz'}",set()
com.bytedance.sdk,28,{'com.yzd.mycd'},1,{'errlog.umeng.com'},1,https://errlog.umeng.com/upload,1,{'com.yzd.mycd.apk1620492974.0056367.pcap__192.168.137.71_49116__203.119.169.82_443__5ef0054c570df3daaf0000d4_1.3.0_c0c081d_Pixel-3_9_162049293955333716_20210509005809_fg_java.log.gz'},set()
com.getui.gtc,6,{'com.cleanmaster.mguard_cn'},1,{'errlog.umeng.com'},1,https://errlog.umeng.com/upload,1,{'com.cleanmaster.mguard_cn.apk1620800851.4732466.pcap__192.168.137.71_43826__203.119.169.175_443__5fe0757f345b8b53f575765c_61981066-20210414195410_de93c313_Pixel-3_9_162080082119623050_20210512142906_bg_anr.log.gz'},"{'oaid', 'imei', '358123091482602'}"
com.umeng.commonsdk,4,{'com.neusoft.app.beijingdaily.phone'},1,{'errlog.umeng.com'},1,https://errlog.umeng.com/upload,1,{'com.neusoft.app.beijingdaily.phone.apk1620816155.4667363.pcap__192.168.137.71_47532__203.119.169.43_443__59a7a6a004e2051235001f73_2.6.0_c826de25_Pixel-3_9_162081612519732831_20210512184237_fg_java.log.gz'},set()
com.kwad.sdk,4,{'cn.nova.phone'},1,{'errlog.umeng.com'},1,https://errlog.umeng.com/upload,1,{'cn.nova.phone.apk1621205499.744608.pcap__192.168.137.200_44924__203.119.169.84_443__55da89a567e58ecc4a002454_6.2.0_cf9b4e56_Pixel-3_9_162120546861221225_20210517065300_fg_java.log.gz'},{'358123091482602'}
com.stonesun.android,134,"{'com.changcheng.newsapp', 'com.hogesoft.android.changzhou'}",2,{'rev.uar.hubpd.com'},1,http://rev.uar.hubpd.com/rcv/m?tm=1621097045803 http://rev.uar.hubpd.com/rcv/m?tm=1620786400705 http://rev.uar.hubpd.com/rcv/m?tm=1621097184855 http://rev.uar.hubpd.com/rcv/m?tm=1621097071661 http://rev.uar.hubpd.com/rcv/m?tm=1621097120381 http://rev.uar.hubpd.com/rcv/m?tm=1621097186932 http://rev.uar.hubpd.com/rcv/m?tm=1620786414389 http://rev.uar.hubpd.com/rcv/m?tm=1621097127452 http://rev.uar.hubpd.com/rcv/m?tm=1621097181776 http://rev.uar.hubpd.com/rcv/m?tm=1621097065267 http://rev.uar.hubpd.com/rcv/m?tm=1620786416457 http://rev.uar.hubpd.com/rcv/m?tm=1621097108177 http://rev.uar.hubpd.com/rcv/m?tm=1621097198074 http://rev.uar.hubpd.com/rcv/m?tm=1621097149945 http://rev.uar.hubpd.com/rcv/m?tm=1621097158151 http://rev.uar.hubpd.com/rcv/m?tm=1621097145809 http://rev.uar.hubpd.com/rcv/m?tm=1621097101037 http://rev.uar.hubpd.com/rcv/m?tm=1620786399641 http://rev.uar.hubpd.com/rcv/m?tm=1621097062940 http://rev.uar.hubpd.com/rcv/m?tm=1621097202144 http://rev.uar.hubpd.com/rcv/m?tm=162109,67,"{'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38228__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38188__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49394__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38154__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49262__159.226.227.102_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38618__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49312__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_39806__159.226.227.99_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38212__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49274__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42678__159.226.227.106_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38616__159.226.227.102_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38584__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49300__159.226.227.102_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38578__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42648__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49306__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38190__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42540__159.226.227.106_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38594__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42602__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38156__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42656__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38200__58.216.55.240_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38570__159.226.227.102_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38636__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42592__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49388__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42584__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38246__58.216.55.240_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38614__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38284__58.216.55.240_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38538__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49380__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38326__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42642__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49390__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38198__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42662__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38244__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38254__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42674__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49254__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49304__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42688__159.226.227.106_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38612__159.226.227.102_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38586__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49420__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42624__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42618__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38176__58.216.55.240_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38590__159.226.227.102_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38592__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38272__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_42640__159.226.227.106_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38214__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38256__58.216.55.240_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38488__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_49404__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38302__58.216.55.240_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38576__159.226.227.102_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38588__159.226.227.102_80__zipdata.gz', 'com.changcheng.newsapp_20210223.apk1620786346.7839577.pcap__192.168.137.23_38646__159.226.227.102_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38232__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38166__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38298__58.216.55.240_80__zipdata.gz', 'com.hogesoft.android.changzhou_20191219.apk1621096992.7550247.pcap__192.168.137.30_38268__58.216.55.240_80__zipdata.gz'}",set()
com.bangcle.andjni,10,{'com.ophone.reader.ui'},1,{'record.cmread.com'},1,http://record.cmread.com:7443/alllog.datacollector.web/execute.action?token=,1,"{'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39432__112.25.127.22_7443__1621610637403.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39552__112.25.127.22_7443__1621610666954.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39200__112.25.127.22_7443__1621610579991.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39516__112.25.127.22_7443__1621610657353.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39250__112.25.127.22_7443__1621610588089.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39432__112.25.127.22_7443__1621610628791.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39114__112.25.127.22_7443__1621610566214.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39374__112.25.127.22_7443__1621610620089.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39666__112.25.127.22_7443__1621610691950.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39486__112.25.127.22_7443__1621610645978.log.gz'}","{'imei', 'phoneNumber'}"
com.cmread.network,9,{'com.ophone.reader.ui'},1,{'record.cmread.com'},1,http://record.cmread.com:7443/alllog.datacollector.web/execute.action?token=,1,"{'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39432__112.25.127.22_7443__1621610637403.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39552__112.25.127.22_7443__1621610666954.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39200__112.25.127.22_7443__1621610579991.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39250__112.25.127.22_7443__1621610588089.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39432__112.25.127.22_7443__1621610628791.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39114__112.25.127.22_7443__1621610566214.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39374__112.25.127.22_7443__1621610620089.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39666__112.25.127.22_7443__1621610691950.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39486__112.25.127.22_7443__1621610645978.log.gz'}","{'imei', 'phoneNumber'}"
com.cmread.core,3,{'com.ophone.reader.ui'},1,{'record.cmread.com'},1,http://record.cmread.com:7443/alllog.datacollector.web/execute.action?token=,1,{'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39488__112.25.127.22_7443__1621610648821.log.gz'},set()
com.taobao.android,3,{'com.ophone.reader.ui'},1,{'record.cmread.com'},1,http://record.cmread.com:7443/alllog.datacollector.web/execute.action?token=,1,"{'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39488__112.25.127.22_7443__1621610648821.log.gz', 'com.ophone.reader.ui_490.apk1621610509.618658.pcap__192.168.137.89_39516__112.25.127.22_7443__1621610657353.log.gz'}","{'imei', 'phoneNumber'}"
